Chief Engineering Technician Civil (Projects): Cape Town, Gauteng and Durban;Strategic Infrastructure - PRASA Technical;Advert - Chief Engineering Technician Civil - Projects.doc
Project Manager : Signalling;Strategic Asset Development;Advert - Project Manager Signalling.doc
Senior Engineer: Telecommunications;Strategic Asset Development;Advert - Senior Engineer Telecommunications.doc
Creditor Administrator ;Finance;Creditors Administrator.docx
Station Supervisor (1);Customer Services : Gauteng;106707-v1-ADVERT_STATION_SUPERVISORAug.doc
Payroll Officer with Supervision;Human Resources -Payroll;20032-v1-PAYROLL_OFFICER_WITH_SUPERVISION 3.doc
Business Express Train Manager (2);Customer Services ;26758-v1-BUSINESS_EXPRESS_TRAIN_MANAGER__SBE___CUSTOMER_S....doc
Business Express Train Manager (2);Customer Services;26759-v1-BUSINESS_EXPRESS_TRAIN_MANAGER_TBE___CUSTOMER_SE....doc
Senior Office Administration Assistant (Accounting)(1);Customer Services : Gauteng;34690-v1-ADVERT_SENIOR_OFFICE_ADMINISTRATIVE_ASSISTANT_ACCO....docx
Senior Training Officer - Electronics (2));Rolling Stock;34775-v1-SENIOR_TECHNICAL_TRAINING_OFFICER_COT___ROLLING_....doc
Regional Engineer;Perway;34776-v1-REGIONAL_ENGINEER_109_PERWAY_2014.doc
Metro Guard In Training;Train OperationsDepartment;34777-v1-METROGUARD_IN_TRAINING___TRAIN_OPERATIONS.DOC
Technical Supervisor Multiple Trades Multi Discipline) (1);Engineering Services;34778-v1-TECHNICAL_SUPERVISOR_MULTIPLE_TRADES___ROLLING_STO....docx
Technical Maintenance Planner (1);Engineering Services;34779-v1-MAINTENANCE_PLANNER___ROLLING_STOCK_GAUTENG_NORTH.....docx
Technical Supervisor (Quality Management) (2);Engineering Services;34780-v1-TECHNICAL_SUPERVISOR_QUALITY_MANAGEMENT___ROLLING_....docx
System Engineer(Electrical and Mechanical Engineer ) x2;Rolling StockEngineering Services;34781-v1-SYSTEMS_ENGINEER_ELECTRICAL_MECHANICAL_ROLLING_S....doc
Technical Supervisor(Civil)- Track Welding;Perway;GAUTENG_TECHNICAL_SUPERVISOR_TRACK_WELDING___PERWAY.DOCX
Senior Trade HandX8 ;Rolling Stock ;Senior Trade Hand - Rolling Stock - Copy.doc
Assistant Manager;Protection Services;66716-v1-ASSISTANT_MANAGER___PROTECTION_SERVICES.DOC
